method,sentence_n,sentence_positive_rate,sentence_predicted_positive_rate,sentence_accuracy,sentence_balanced_accuracy,sentence_precision,sentence_recall,sentence_f1,sentence_negative_precision,sentence_negative_recall,sentence_negative_f1,sentence_macro_precision,sentence_macro_recall,sentence_macro_f1,sentence_specificity,sentence_threshold,sentence_roc_auc,sentence_pr_auc,sentence_brier,sentence_ece_10,sentence_tp,sentence_fp,sentence_fn,sentence_tn
always_clean,150.0,0.6,0.0,0.4,0.5,0.0,0.0,0.0,0.4,1.0,0.5714285714285715,0.2,0.5,0.28571428571428575,1.0,0.5,0.5,0.6,0.6,0.6,0.0,0.0,90.0,60.0
always_hallucinated,150.0,0.6,1.0,0.6,0.5,0.6,1.0,0.7499999999999999,0.0,0.0,0.0,0.3,0.5,0.37499999999999994,0.0,0.5,0.5,0.6,0.4,0.4,90.0,60.0,0.0,0.0
random_balanced,150.0,0.6,0.48,0.56,0.5666666666666667,0.6666666666666666,0.5333333333333333,0.5925925925925926,0.46153846153846156,0.6,0.5217391304347826,0.5641025641025641,0.5666666666666667,0.5571658615136876,0.6,0.523027657520901,0.5338888888888889,0.6445516101016481,0.3086834996362471,0.22892772870804398,48.0,24.0,42.0,36.0
random_prior,150.0,0.6,0.6866666666666666,0.5,0.46111111111111114,0.5728155339805825,0.6555555555555556,0.6113989637305699,0.3404255319148936,0.26666666666666666,0.29906542056074764,0.4566205329477381,0.46111111111111114,0.4552321921456588,0.26666666666666666,0.3791151897503221,0.4242592592592592,0.561033424397752,0.3553693772956977,0.3149942959900345,59.0,44.0,31.0,16.0
keyword_tool_action,150.0,0.6,0.24666666666666667,0.5266666666666666,0.5805555555555555,0.7567567567567568,0.3111111111111111,0.44094488188976383,0.45132743362831856,0.85,0.5895953757225434,0.6040420951925377,0.5805555555555555,0.5152701288061536,0.85,0.550000001,0.5496296296296296,0.6715406786096442,0.3434873333333333,0.23819999999999994,28.0,9.0,62.0,51.0
value_checker,150.0,0.6,0.7,0.5666666666666667,0.5277777777777778,0.6190476190476191,0.7222222222222222,0.6666666666666666,0.4444444444444444,0.3333333333333333,0.380952380952381,0.5317460317460317,0.5277777777777778,0.5238095238095238,0.3333333333333333,0.720000001,0.5310185185185186,0.6155190658638935,0.30444,0.2486666666666668,65.0,40.0,25.0,20.0
tfidf_logreg,150.0,0.6,0.4866666666666667,0.7533333333333333,0.7666666666666666,0.863013698630137,0.7,0.7730061349693251,0.6493506493506493,0.8333333333333334,0.72992700729927,0.7561821739903931,0.7666666666666666,0.7514665711342976,0.8333333333333334,0.5230323953085179,0.8731481481481482,0.90414065367171,0.2193219490445901,0.23084060618294258,63.0,10.0,27.0,50.0
lookback_lens_style_proxy,150.0,0.6,0.5466666666666666,0.5066666666666667,0.49722222222222223,0.5975609756097561,0.5444444444444444,0.569767441860465,0.39705882352941174,0.45,0.421875,0.49730989956958394,0.49722222222222223,0.4958212209302325,0.45,0.49650133791884665,0.5115740740740741,0.6083132847178568,0.26208788840697206,0.13565640772432414,49.0,33.0,41.0,27.0
attention_lookback_lens_adapted,150.0,0.6,0.3333333333333333,0.4666666666666667,0.5,0.6,0.3333333333333333,0.42857142857142855,0.4,0.6666666666666666,0.5,0.5,0.5,0.4642857142857143,0.6666666666666666,0.5053972047930496,0.5175925925925926,0.6127352558420219,0.2500138124776106,0.09889667368859265,30.0,20.0,60.0,40.0
nli_sentence_verifier,150.0,0.6,0.62,0.6733333333333333,0.6555555555555556,0.7204301075268817,0.7444444444444445,0.7322404371584699,0.5964912280701754,0.5666666666666667,0.5811965811965812,0.6584606677985285,0.6555555555555556,0.6567185091775256,0.5666666666666667,0.6483165780769119,0.6336111111111111,0.6723003206964777,0.2650694911498989,0.12562293725212426,67.0,26.0,23.0,34.0
lettucedetect_real,150.0,0.6,0.64,0.5466666666666666,0.5194444444444445,0.6145833333333334,0.6555555555555556,0.6344086021505377,0.42592592592592593,0.38333333333333336,0.40350877192982454,0.5202546296296297,0.5194444444444445,0.5189586870401811,0.38333333333333336,0.9882506142125854,0.5137037037037038,0.6282180721645307,0.43681832757641936,0.4375035309791565,59.0,37.0,31.0,23.0
modernbert_token_classifier,150.0,0.6,0.4533333333333333,0.8,0.8222222222222222,0.9411764705882353,0.7111111111111111,0.8101265822784811,0.6829268292682927,0.9333333333333333,0.7887323943661972,0.812051649928264,0.8222222222222222,0.7994294883223392,0.9333333333333333,0.8518227348790893,0.8605555555555556,0.925099445364537,0.16874079907492634,0.12551487083236373,64.0,4.0,26.0,56.0
hybrid_modernbert_value_checker,150.0,0.6,0.44,0.7866666666666666,0.8111111111111111,0.9393939393939394,0.6888888888888889,0.7948717948717948,0.6666666666666666,0.9333333333333333,0.7777777777777778,0.803030303030303,0.8111111111111111,0.7863247863247863,0.9333333333333333,0.900000001,0.8546296296296296,0.8933926796191853,0.2875191948889673,0.306968929632505,62.0,4.0,28.0,56.0
