split,id,corruption_type,corruption_style,label_type,span_length,relative_start,inserted_at_end,meta
train,toolace-158::tool_contradiction,tool_contradiction,number_substitution,tool_contradiction,3,0.28440366972477066,0,"{""style"": ""number_substitution"", ""source_value"": '150', ""new_value"": '172'}"
train,toolace-158::overgeneration,overgeneration,unsupported_forecast,overgeneration,69,0.9171668667466987,1,"{""style"": ""unsupported_forecast"", ""reason"": ""claim_absent_from_tool_response""}"
train,toolace-158::missing_tool,missing_tool,flight,missing_tool,37,0.0,0,"{""style"": ""flight"", ""reason"": ""required_tool_unavailable""}"
train,toolace-197::tool_contradiction,tool_contradiction,cross_field_value_swap,tool_contradiction,27,0.4301412872841444,0,"{""style"": ""cross_field_value_swap"", ""source_value"": 'Do I need to re-register before every election?', ""new_value"": 'How can I register to vote?'}"
train,toolace-197::overgeneration,overgeneration,unsupported_guarantee,overgeneration,76,0.896457765667575,1,"{""style"": ""unsupported_guarantee"", ""reason"": ""claim_absent_from_tool_response""}"
train,toolace-197::missing_tool,missing_tool,flight,missing_tool,37,0.9467625899280575,1,"{""style"": ""flight"", ""reason"": ""required_tool_unavailable""}"
train,toolace-125::tool_contradiction,tool_contradiction,code_substitution,tool_contradiction,5,0.75,0,"{""style"": ""code_substitution"", ""source_value"": 'LAROI', ""new_value"": 'LAROX'}"
train,toolace-125::overgeneration,overgeneration,unsupported_cause,overgeneration,71,0.5670731707317073,1,"{""style"": ""unsupported_cause"", ""reason"": ""claim_absent_from_tool_response""}"
train,toolace-125::missing_tool,missing_tool,email,missing_tool,53,0.0,0,"{""style"": ""email"", ""reason"": ""required_tool_unavailable""}"
train,toolace-199::tool_contradiction,tool_contradiction,entity_substitution,tool_contradiction,8,0.042483660130718956,0,"{""style"": ""entity_substitution"", ""source_value"": 'Laptop', ""new_value"": 'New York'}"
train,toolace-199::overgeneration,overgeneration,unsupported_history,overgeneration,85,0.08782435129740519,0,"{""style"": ""unsupported_history"", ""reason"": ""claim_absent_from_tool_response""}"
train,toolace-199::missing_tool,missing_tool,flight,missing_tool,37,0.0,0,"{""style"": ""flight"", ""reason"": ""required_tool_unavailable""}"
train,toolace-11::tool_contradiction,tool_contradiction,number_substitution,tool_contradiction,4,0.24149956408020923,0,"{""style"": ""number_substitution"", ""source_value"": '2025', ""new_value"": '2329'}"
train,toolace-11::overgeneration,overgeneration,unsupported_history,overgeneration,85,0.0681265206812652,0,"{""style"": ""unsupported_history"", ""reason"": ""claim_absent_from_tool_response""}"
train,toolace-11::missing_tool,missing_tool,email,missing_tool,53,0.9558701082431307,1,"{""style"": ""email"", ""reason"": ""required_tool_unavailable""}"
train,toolace-136::tool_contradiction,tool_contradiction,fallback_value,tool_contradiction,80,0.7324414715719063,1,"{""style"": ""fallback_value"", ""fallback"": true}"
train,toolace-136::overgeneration,overgeneration,unsupported_risk,overgeneration,68,0.7630662020905923,1,"{""style"": ""unsupported_risk"", ""reason"": ""claim_absent_from_tool_response""}"
train,toolace-136::missing_tool,missing_tool,email,missing_tool,53,0.8051470588235294,1,"{""style"": ""email"", ""reason"": ""required_tool_unavailable""}"
train,toolace-184::tool_contradiction,tool_contradiction,number_substitution,tool_contradiction,5,0.4325337331334333,0,"{""style"": ""number_substitution"", ""source_value"": '25000.0', ""new_value"": '21250'}"
train,toolace-184::overgeneration,overgeneration,unsupported_history,overgeneration,85,0.940225035161744,1,"{""style"": ""unsupported_history"", ""reason"": ""claim_absent_from_tool_response""}"
train,toolace-184::missing_tool,missing_tool,hotel,missing_tool,52,0.9625629949604032,1,"{""style"": ""hotel"", ""reason"": ""required_tool_unavailable""}"
train,toolace-10::tool_contradiction,tool_contradiction,fallback_value,tool_contradiction,80,0.8637137989778535,1,"{""style"": ""fallback_value"", ""fallback"": true}"
train,toolace-10::overgeneration,overgeneration,unsupported_trend,overgeneration,60,0.8941798941798942,1,"{""style"": ""unsupported_trend"", ""reason"": ""claim_absent_from_tool_response""}"
train,toolace-10::missing_tool,missing_tool,calendar,missing_tool,49,0.12410071942446044,0,"{""style"": ""calendar"", ""reason"": ""required_tool_unavailable""}"
train,toolace-139::tool_contradiction,tool_contradiction,cross_field_value_swap,tool_contradiction,12,0.03856749311294766,0,"{""style"": ""cross_field_value_swap"", ""source_value"": 'localities', ""new_value"": 'Autocomplete'}"
train,toolace-139::overgeneration,overgeneration,unsupported_user_reaction,overgeneration,73,0.0,0,"{""style"": ""unsupported_user_reaction"", ""reason"": ""claim_absent_from_tool_response""}"
train,toolace-139::missing_tool,missing_tool,email,missing_tool,53,0.11566265060240964,0,"{""style"": ""email"", ""reason"": ""required_tool_unavailable""}"
train,toolace-156::tool_contradiction,tool_contradiction,entity_substitution,tool_contradiction,4,0.9644970414201184,0,"{""style"": ""entity_substitution"", ""source_value"": 'Simulated_video_content_without_watermarks', ""new_value"": 'Rome'}"
train,toolace-156::overgeneration,overgeneration,unsupported_trend,overgeneration,60,0.0,0,"{""style"": ""unsupported_trend"", ""reason"": ""claim_absent_from_tool_response""}"
train,toolace-156::missing_tool,missing_tool,email,missing_tool,53,0.0,0,"{""style"": ""email"", ""reason"": ""required_tool_unavailable""}"
train,toolace-61::tool_contradiction,tool_contradiction,number_substitution,tool_contradiction,4,0.5676741130091985,0,"{""style"": ""number_substitution"", ""source_value"": '2022', ""new_value"": '2325'}"
train,toolace-61::overgeneration,overgeneration,unsupported_risk,overgeneration,68,0.9180722891566265,1,"{""style"": ""unsupported_risk"", ""reason"": ""claim_absent_from_tool_response""}"
train,toolace-61::missing_tool,missing_tool,email,missing_tool,53,0.0,0,"{""style"": ""email"", ""reason"": ""required_tool_unavailable""}"
train,toolace-91::tool_contradiction,tool_contradiction,fallback_opposite,tool_contradiction,67,0.837378640776699,1,"{""style"": ""fallback_opposite"", ""fallback"": true}"
